PointDTO{lat=56.487892, lon=84.957725, course='213.7566932066037', speed'2.5418410556036894', autoId='a101bc'}
PointDTO{lat=56.487888, lon=84.957718, course='224.01510051989715', speed'0.6186482054469696', autoId='a101bc'}
PointDTO{lat=56.487877, lon=84.95771, course='201.87728789190626', speed'1.3184373177107833', autoId='a101bc'}
PointDTO{lat=56.487873, lon=84.95771, course='180.0', speed'0.4449050201475946', autoId='a101bc'}
PointDTO{lat=56.487869, lon=84.95771, course='180.0', speed'0.44490502156263934', autoId='a101bc'}
PointDTO{lat=56.487869, lon=84.957703, course='270.0000029234169', speed'0.4298666425993515', autoId='a101bc'}
PointDTO{lat=56.487865, lon=84.957703, course='180.0', speed'0.44490502085511696', autoId='a101bc'}
PointDTO{lat=56.487862, lon=84.957703, course='180.0', speed'0.3336787658182183', autoId='a101bc'}
PointDTO{lat=56.487862, lon=84.957687, course='270.0000066631497', speed'0.9825525043189084', autoId='a101bc'}
PointDTO{lat=56.487865, lon=84.957642, course='276.88504267025974', speed'2.783501448603426', autoId='a101bc'}
PointDTO{lat=56.487888, lon=84.957573, course='301.12111745939956', speed'4.949620790219077', autoId='a101bc'}
PointDTO{lat=56.487904, lon=84.957489, course='289.0342058869303', speed'5.4567478624050025', autoId='a101bc'}
PointDTO{lat=56.487854, lon=84.95739, course='227.54905476021622', speed'8.239479185169309', autoId='a101bc'}
PointDTO{lat=56.48785, lon=84.957298, course='265.49736049507715', speed'5.667169172798888', autoId='a101bc'}
PointDTO{lat=56.487862, lon=84.957199, course='282.3824245630629', speed'6.22433343286803', autoId='a101bc'}
PointDTO{lat=56.487873, lon=84.957108, course='282.3494524934986', speed'5.720633534352801', autoId='a101bc'}
PointDTO{lat=56.487888, lon=84.957008, course='285.19947341824115', speed'6.363553007526571', autoId='a101bc'}
PointDTO{lat=56.487904, lon=84.956902, course='285.29061415567725', speed'6.7482882837922284', autoId='a101bc'}
PointDTO{lat=56.487927, lon=84.956787, course='289.91270304337667', speed'7.51115624519509', autoId='a101bc'}
PointDTO{lat=56.487949, lon=84.95668, course='290.4254457566459', speed'7.011647478175786', autoId='a101bc'}
PointDTO{lat=56.487968, lon=84.956551, course='284.9369831275963', speed'8.198847271630312', autoId='a101bc'}
PointDTO{lat=56.487991, lon=84.956406, course='286.029316800931', speed'9.26455266874541', autoId='a101bc'}
PointDTO{lat=56.488014, lon=84.956268, course='286.7976181355929', speed'8.852191009967617', autoId='a101bc'}
PointDTO{lat=56.488037, lon=84.956139, course='287.89699948938807', speed'8.324617105659973', autoId='a101bc'}
PointDTO{lat=56.488052, lon=84.955986, course='280.06920881545994', speed'9.542593157216341', autoId='a101bc'}
PointDTO{lat=56.488075, lon=84.955841, course='286.02935046603443', speed'9.264533720103405', autoId='a101bc'}
PointDTO{lat=56.488094, lon=84.955704, course='284.10060243038987', speed'8.674419374921737', autoId='a101bc'}
PointDTO{lat=56.488117, lon=84.955559, course='286.02936730534253', speed'9.264524246640567', autoId='a101bc'}
PointDTO{lat=56.48814, lon=84.955421, course='286.79767077998645', speed'8.852164066579821', autoId='a101bc'}
PointDTO{lat=56.488152, lon=84.955284, course='279.01480537478034', speed'8.518260050492904', autoId='a101bc'}
PointDTO{lat=56.487526, lon=84.959198, course='33.41034368295089', speed'9701084.740440238', autoId='a101bc'}
PointDTO{lat=56.487492, lon=84.959137, course='224.72848306651872', speed'5.322953830984939', autoId='a101bc'}
